TitleText: Frequency Response
XUnitText: f / fs
YUnitText: H(f)
Markers: on
XLowLimit: -0.5
XHighLimit: 0.5
BoundBox: on
0.228930 9.999986e-01
0.230521 1.000001e+00
0.232113 1.000002e+00
0.233704 1.000000e+00
0.235296 9.999976e-01
0.236887 9.999984e-01
0.238479 1.000002e+00
0.240070 1.000003e+00
0.241662 9.999998e-01
0.243254 9.999965e-01
0.244845 9.999981e-01
0.246437 1.000003e+00
0.248028 1.000004e+00
0.249620 9.999991e-01
0.251211 9.999948e-01
0.252803 9.999979e-01
0.254394 1.000005e+00
0.255986 1.000006e+00
0.257578 9.999977e-01
0.259169 9.999920e-01
0.260761 9.999978e-01
0.262352 1.000008e+00
0.263944 1.000008e+00
0.265535 9.999949e-01
0.267127 9.999870e-01
0.268718 9.999981e-01
0.270310 1.000015e+00
0.271901 1.000012e+00
0.273493 9.999885e-01
0.275085 9.999772e-01
0.276676 1.000000e+00
0.278268 1.000030e+00
0.279859 1.000019e+00
0.281451 9.999723e-01
0.283042 9.999554e-01
0.284634 1.000009e+00
0.286225 1.000068e+00
0.287817 1.000034e+00
0.289409 9.999249e-01
0.291000 9.998997e-01
0.292592 1.000039e+00
0.294183 1.000170e+00
0.295775 1.000073e+00
0.297366 9.998948e-01
0.298958 9.998485e-01
0.300549 9.984168e-01
0.302141 9.897065e-01
0.303732 9.623235e-01
0.305324 9.022461e-01
0.306916 7.997228e-01
0.308507 6.566663e-01
0.310099 4.893932e-01
0.311690 3.238247e-01
0.313282 1.851859e-01
0.314873 8.811281e-02
0.316465 3.278395e-02
0.318056 8.477468e-03
0.319648 1.184496e-03
0.321240 1.328181e-04
0.322831 9.209598e-05
0.324423 9.677316e-05
0.326014 1.639645e-04
0.327606 1.685728e-05
0.329197 1.067189e-04
0.330789 6.251082e-05
0.332380 4.411066e-05
0.333972 6.439012e-05
0.335563 5.648161e-07
0.337155 4.635946e-05
0.338747 2.190966e-05
0.340338 2.349133e-05
0.341930 2.781248e-05
0.343521 4.048363e-06
0.345113 2.323837e-05
0.346704 8.452256e-06
0.348296 1.387841e-05
0.349887 1.363945e-05
0.351479 4.111067e-06
0.353070 1.300336e-05
0.354662 3.325297e-06
0.356254 8.854086e-06
0.357845 7.274347e-06
0.359437 3.527367e-06
0.361028 7.846892e-06
0.362620 1.142237e-06
0.364211 5.968823e-06
0.365803 4.079075e-06
0.367394 2.904729e-06
0.368986 4.985921e-06
0.370578 1.490826e-07
0.372169 4.186330e-06
0.373761 2.340101e-06
0.375352 2.368768e-06
0.376944 3.279762e-06
0.378535 3.128124e-07
0.380127 3.020697e-06
0.381718 1.336448e-06
0.383310 1.931065e-06
0.384901 2.204708e-06
0.386493 5.200021e-07
0.388085 2.223424e-06
0.389676 7.321759e-07
0.391268 1.577656e-06
0.392859 1.497782e-06
0.394451 5.989444e-07
0.396042 1.658055e-06
0.397634 3.576610e-07
0.399225 1.291525e-06
0.400817 1.017139e-06
0.402409 6.113517e-07
0.404000 1.245147e-06
0.405592 1.215746e-07
0.407183 1.057982e-06
0.408775 6.816981e-07
0.410366 5.888567e-07
0.411958 9.361533e-07
